# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "4" "-p" "--countReadPairs" "-s" "0" "-t" "exon" "-g" "gene_id" "-a" "/home/xi/tmp/plant_m6A_data/ref/ath_TAIR10.gtf" "-o" "/home/xi/tmp/plant_m6A/results/phase1/expr/GSE174573_gene_counts.txt" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570256.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570257.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570258.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570259.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570260.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570261.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570262.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570263.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570264.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570265.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570266.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570267.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570268.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570269.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570270.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570271.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570272.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570273.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570274.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570275.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570276.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570277.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570278.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570279.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570256.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570257.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570258.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570259.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570260.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570261.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570262.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570263.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570264.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570265.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570266.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570267.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570268.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570269.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570270.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570271.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570272.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570273.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570274.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570275.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570276.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570277.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570278.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570279.sorted.bam
AT1G65630	1;1;1;1;1;1;1;1	24406461;24406903;24407037;24407320;24407516;24407911;24408347;24408696	24406793;24406953;24407210;24407447;24407775;24408106;24408592;24409068	-;-;-;-;-;-;-;-	1761	0	0	4	0	1	22	0	0	0	0	1	0	0	17	0	16	1	0	0	0	1	0	2	0
AT1G71390	1;1	26906401;26906453	26908975;26908905	+;+	2575	0	1	1	1	4	4	1	0	0	0	0	0	1	5	4	0	1	0	1	0	1	3	0	0
AT1G56233	1;1	21050540;21050939	21050795;21051017	-;-	335	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G15210	1;1;1;1;1;1;1;1;1	5231345;5232568;5233493;5233690;5233834;5234080;5235039;5235527;5235742	5232479;5233409;5233599;5233761;5233987;5234949;5235431;5235657;5236886	-;-;-;-;-;-;-;-;-	4849	174	261	938	470	735	638	36	43	111	114	46	30	292	192	154	216	204	250	1349	1043	559	505	591	556
AT1G15250	1;1;1;1;1;1;1;1;1	5248664;5248664;5248961;5248961;5249169;5249169;5249379;5249379;5249666	5248871;5248871;5249062;5249062;5249304;5249304;5249558;5249563;5249676	-;-;-;-;-;-;-;-;-	642	53	42	145	99	161	126	50	18	132	22	55	4	157	75	86	61	160	66	284	101	155	106	119	97
AT1G79700	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	29990336;29990336;29990440;29990440;29991804;29991804;29991804;29991834;29991955;29991955;29991955;29991955;29992089;29992089;29992089;29992089;29992638;29992638;29992638;29992638;29992868;29993080;29993080;29993080;29993322;29993322;29993486;29993486;29993486	29990825;29990825;29990825;29990825;29991880;29991880;29991880;29991880;29992005;29992005;29992005;29992005;29992162;29992162;29992162;29992162;29992726;29992726;29992726;29992726;29993058;29993088;29993404;29993088;29993404;29993404;29993724;29993766;29993724	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1578	288	453	727	572	1067	1023	59	67	242	169	64	50	110	152	53	76	111	155	505	229	403	306	298	198
AT1G62895	1;1;1;1;1	23295989;23296187;23296433;23296633;23296826	23296018;23296288;23296489;23296671;23296858	+;+;+;+;+	261	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G73360	1;1;1;1;1;1;1;1;1;1	27578421;27579369;27579545;27579882;27580139;27580432;27580621;27581190;27581481;27581675	27579291;27579458;27579804;27580062;27580339;27580533;27581103;27581378;27581598;27582685	-;-;-;-;-;-;-;-;-;-	3506	15	33	88	64	80	100	12	5	22	12	4	3	29	36	20	21	35	11	65	85	59	35	55	34
AT1G16360	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	5593270;5593301;5593301;5593301;5593301;5593672;5593672;5593672;5594097;5594097;5594097;5594524;5594524;5594524;5594524;5594524;5594697;5594697;5594697;5594697;5594697;5594902;5594902;5594902;5594902;5594902;5595075;5595075;5595075;5595075;5595075;5595706	5593550;5593550;5594394;5593550;5593961;5593961;5594394;5593961;5594394;5594394;5594394;5594594;5594594;5594594;5594594;5594594;5594810;5594810;5594810;5594810;5594810;5594976;5594976;5594976;5594976;5594976;5595133;5595179;5595223;5595179;5595179;5595814	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1643	1	3	1	4	10	4	0	0	0	0	0	0	0	0	2	0	1	2	5	8	4	1	1	8
AT1G10225	1;1	3354243;3354361	3354281;3354856	+;+	535	1	1	1	0	0	7	0	0	1	0	0	0	0	4	0	16	0	0	1	1	3	7	1	6
AT1G26670	1;1;1;1;1	9215770;9216860;9217008;9217373;9217641	9216199;9216918;9217196;9217543;9218010	+;+;+;+;+	1219	319	1024	959	3112	923	2090	237	635	356	1008	111	248	941	922	482	605	716	1718	1291	2262	1360	2195	922	2229
AT1G34855	1;1;1	12801427;12801634;12801984	12801622;12801929;12802067	+;+;+	576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G52200	1;1;1;1;1;1;1	19441636;19442068;19442726;19443029;19443029;19443209;19443209	19442359;19442938;19442938;19443100;19443100;19443631;19443624	-;-;-;-;-;-;-	1798	112	191	674	562	995	572	44	12	145	92	93	9	237	127	121	162	237	98	403	165	283	216	240	109
AT1G57800	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	21408623;21408623;21409027;21409027;21409345;21409345;21409568;21409568;21409755;21409755;21409917;21409917;21410104;21410104;21410350;21410350;21411774;21411774	21408941;21408941;21409241;21409241;21409492;21409492;21409670;21409670;21409807;21409819;21410019;21410019;21410229;21410229;21410879;21410879;21412283;21412283	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2119	0	0	2	2	3	13	2	4	6	4	0	0	4	0	2	0	7	9	0	2	0	1	2	6
AT1G69460	1;1;1;1	26111688;26112271;26112660;26112948	26112198;26112347;26112869;26113256	-;-;-;-	1107	189	780	653	2495	622	1978	83	110	202	424	86	107	209	308	175	243	338	224	788	2889	598	1829	519	4358
AT1G04310	1;1;1;1;1;1	1154740;1154764;1155350;1155350;1157546;1157651	1155277;1155277;1157139;1157139;1157813;1157786	-;-;-;-;-;-	2596	184	407	399	551	463	1215	76	79	201	215	46	25	97	185	63	59	150	154	430	724	409	406	458	666
AT1G08080	1;1;1;1;1;1;1	2516991;2517214;2517351;2517628;2517826;2518154;2518444	2517096;2517267;2517518;2517730;2517932;2518371;2518611	-;-;-;-;-;-;-	924	0	1	3	1	1	9	3	0	3	0	0	0	4	0	3	25	5	2	1	7	1	5	1	2
AT1G75550	1;1;1	28368447;28369232;28369490	28368794;28370008;28370061	-;-;-	1178	49	55	134	90	138	320	12	107	38	86	9	7	23	48	16	10	29	79	69	124	37	69	58	85
AT1G71890	1;1;1	27058381;27059837;27060356	27059748;27059900;27060786	+;+;+	1863	0	2	14	1	11	14	2	1	6	3	5	0	27	31	8	12	21	7	15	11	16	7	13	2
AT1G05430	1;1;1;1;1;1	1594053;1594540;1594923;1595133;1595321;1595675	1594430;1594807;1595043;1595186;1595426;1595923	-;-;-;-;-;-	1176	82	182	258	281	393	400	41	17	119	84	40	34	151	193	95	134	129	123	260	318	263	171	162	252
AT1G80870	1	30391899	30394398	+	2500	148	176	474	369	500	711	69	130	162	228	49	85	274	458	135	158	212	870	550	543	317	433	359	558
AT1G75310	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	28260801;28260831;28261588;28261588;28265178;28265181;28265307;28265313;28265470;28265470;28265635;28265635;28265814;28265814;28266089;28266089	28261368;28261368;28265089;28265089;28265229;28265229;28265374;28265374;28265535;28265535;28265724;28265724;28265990;28265990;28266323;28266124	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4758	770	1384	2933	3451	3362	6798	126	243	365	641	99	116	360	602	214	411	452	1096	1376	1692	841	1272	997	2457
AT1G02010	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	347613;347805;347824;347824;347974;348212;348212;348212;348212;348373;348373;348373;348373;348373;348562;348562;348562;348562;348562;348735;348735;348735;348735;348735;348880;348880;348880;348880;348880;349020;349067;349067;349067;349067;349238;349238;349238;349238;349238;349238;349550;349550;349550;349550;349550;349550;349803;349803;349803;349803;349803;349803;350049;350049;350049;350049;350049;350049;350226;350226;350226;350226;350226;350226;350474;350474;350474;350474;350474;350474;350658;350658;350658;350658;350658;350658;350871;350871;350871;350871;350871;350871;351044;351044;351044;351044;351044;351044;351252;351252;351252;351252;351252;351252;351412;351412;351412;351412;351412;351412;351729;351729;351729;351729;351737;351912;351912;351912;351912;351912;351912;352126;352126;352126;352126;352126;352126	348127;348127;348267;348127;348127;348267;348267;348267;348267;348454;348454;348454;348454;348454;348640;348640;348640;348640;348640;348785;348785;348785;348785;348785;348976;348976;348976;348976;349099;349099;349099;349099;349099;349099;349366;349366;349366;349366;349366;349366;349720;349720;349720;349720;349720;349720;349886;349886;349886;349886;349886;349886;350147;350147;350147;350147;350147;350147;350296;350296;350296;350296;350296;350296;350570;350570;350570;350570;350570;350570;350783;350783;350783;350783;350783;350783;350966;350966;350966;350966;350966;350966;351160;351160;351160;351160;351160;351160;351329;351329;351329;351329;351329;351329;351819;351601;351632;351632;351632;351632;351819;351819;351819;351819;351819;352001;352001;352001;352001;352001;352001;352543;352303;352503;352545;352536;352503	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3073	25	102	223	594	283	546	34	66	81	109	21	22	100	56	55	113	85	155	204	340	185	391	175	581
AT1G47900	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	17647144;17647144;17647144;17648017;17648017;17648017;17648158;17648158;17648158;17650511;17650511;17650511;17650937;17650937;17650937;17651402;17651402	17647735;17647735;17647735;17648071;17648077;17648077;17650420;17650420;17650420;17650856;17650856;17650856;17651041;17651126;17651041;17651425;17651791	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3842	198	298	733	762	602	941	79	76	174	256	42	49	233	348	142	221	264	272	694	1060	464	511	539	900
AT1G14315	1;1;1	4886768;4886861;4887539	4887439;4887377;4887933	-;-;-	1067	0	0	0	0	1	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
AT1G26760	1	9248152	9249943	-	1792	22	34	83	79	53	116	17	21	23	35	10	10	31	29	21	13	42	60	96	90	44	70	63	41
AT1G05250	1;1;1;1	1525601;1526423;1526682;1526957	1526336;1526588;1526867;1527360	-;-;-;-	1492	0	2	56	0	29	1	1	0	1	0	1	2	0	0	0	0	0	0	24	3	4	0	0	0
AT1G67260	1;1;1;1;1;1	25167418;25167923;25168108;25168228;25168263;25168263	25167668;25168162;25168162;25169307;25169707;25169707	-;-;-;-;-;-	1971	0	0	0	1	2	8	0	0	0	0	0	0	2	1	0	0	1	0	1	3	0	0	0	0
AT1G24575	1	8710847	8711578	-	732	75	169	314	228	196	302	38	33	88	83	28	4	125	188	99	134	136	143	322	354	263	359	289	221
AT1G12790	1;1;1;1;1;1;1;1;1	4358895;4359580;4359898;4360067;4360195;4360380;4360558;4360735;4361153	4359502;4359746;4359981;4360107;4360289;4360475;4360646;4360862;4361371	-;-;-;-;-;-;-;-;-	1527	8	54	64	254	78	167	8	0	18	39	3	2	21	17	6	28	18	15	65	121	57	170	32	269
AT1G04850	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	1365107;1365118;1365612;1365612;1365873;1365873;1366039;1366039;1366218;1366218;1366391;1366391;1366601;1366601;1366807;1366807;1367147;1367147;1367613;1367613;1367790;1367790;1368075;1368539	1365487;1365487;1365731;1365731;1365950;1365950;1366128;1366128;1366299;1366299;1366458;1366458;1366661;1366661;1366886;1366886;1367223;1367223;1367708;1367708;1367934;1367934;1368461;1368940	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2067	498	1504	2118	10766	2148	6534	313	1581	625	2582	158	553	975	1659	621	1230	1022	3211	2579	7634	1791	4651	1727	9031
AT1G31760	1;1	11372394;11373202	11372727;11374301	-;-	1434	7	21	29	102	27	58	5	6	11	20	5	0	9	55	6	8	16	38	49	106	32	119	27	563
AT1G33250	1;1;1	12057198;12057734;12058366	12057637;12058285;12059792	-;-;-	2419	58	241	225	552	279	594	15	25	65	77	18	57	101	61	52	37	55	139	159	277	116	288	118	246
AT1G74000	1;1;1	27829051;27830087;27831160	27829743;27830356;27831536	-;-;-	1340	1	4	8	16	10	8	2	10	7	7	1	0	18	8	9	18	11	3	7	5	1	0	13	6
AT1G55580	1	20763844	20765823	+	1980	7	12	19	7	16	32	5	1	7	9	3	1	5	9	3	0	7	6	32	17	15	16	17	5
AT1G53903	1;1	20132071;20132650	20132550;20133045	+;+	876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G19715	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	6816702;6816735;6816896;6817324;6817324;6817324;6817795;6817795;6817795;6818250;6818250;6818250;6818582;6818582;6818582;6819110;6819110;6819110;6819412;6819430	6817233;6817233;6817233;6817548;6817548;6817548;6818169;6818169;6818169;6818483;6818483;6818483;6819028;6819028;6819028;6819313;6819457;6819313;6819513;6819542	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2246	285	253	963	482	1243	625	110	63	301	141	72	28	334	348	162	169	403	485	971	360	649	446	724	396
AT1G69430	1	26097729	26099388	+	1660	3	2	15	10	16	24	6	0	2	0	2	0	6	8	8	3	11	8	19	9	9	12	12	7
AT1G53340	1;1;1	19898849;19898851;19898851	19901091;19900999;19900962	-;-;-	2243	26	44	77	33	63	78	2	0	4	16	4	4	6	6	9	13	10	3	33	31	14	18	33	36
